group,model,learning_rate,accuracy,auc,f1,f1_0,scaled_mcc,precision,recall,specificity,weighted_score
efficientnet,B0,0.0001,0.896551724137931,0.980952380952381,0.9032258064516129,0.888888888888889,0.9058397249567138,0.8235294117647058,1.0,0.8,0.9150917050775055
efficientnet,B0,0.0005,0.896551724137931,0.9761904761904763,0.896551724137931,0.896551724137931,0.8976190476190475,0.8666666666666667,0.9285714285714286,0.8666666666666667,0.9126929392446634
efficientnet,B1,0.0001,0.9655172413793104,0.9904761904761905,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9706421694719893
efficientnet,B1,0.0005,0.896551724137931,0.980952380952381,0.888888888888889,0.9032258064516129,0.8971337324695567,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.913350506580074
efficientnet,B2,0.0001,0.9310344827586207,0.9857142857142858,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9428130425929545
efficientnet,B2,0.0005,0.9310344827586207,0.9666666666666667,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9390035187834307
efficientnet,B3,0.0001,0.9655172413793104,1.0,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9726436781609197
efficientnet,B3,0.0005,0.896551724137931,0.9761904761904763,0.888888888888889,0.9032258064516129,0.8971337324695567,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.9123981256276931
efficientnet,B4,0.0001,0.9310344827586207,1.0,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9456701854500974
efficientnet,B4,0.0005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
efficientnet,B5,0.0001,0.9655172413793104,0.9904761904761905,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9707389162561577
efficientnet,B5,0.0005,0.9310344827586207,1.0,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9456701854500974
efficientnet,B6,0.0001,0.896551724137931,0.9904761904761905,0.88,0.9090909090909091,0.9045867968563435,1.0,0.7857142857142857,1.0,0.9161411241122748
efficientnet,B6,0.0005,0.9655172413793104,1.0,0.962962962962963,0.967741935483871,0.9665125170576119,1.0,0.9285714285714286,1.0,0.9725469313767512
efficientnet,B7,0.0001,0.9310344827586207,0.9952380952380953,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9447178044977165
efficientnet,B7,0.0005,0.9655172413793104,1.0,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9726436781609197
efficientnet,M,0.0001,0.9310344827586207,0.9952380952380953,0.9333333333333333,0.9285714285714286,0.9354116825871044,0.875,1.0,0.8666666666666667,0.9447178044977165
efficientnet,M,0.0005,0.8620689655172413,0.9476190476190477,0.8461538461538461,0.8749999999999999,0.8647726099313322,0.9166666666666666,0.7857142857142857,0.9333333333333333,0.8791228938442934
efficientnet,S,0.0001,0.9655172413793104,0.980952380952381,0.9655172413793104,0.9655172413793104,0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9688341543513959
