group,model,learning_rate,accuracy,auc,f1,f1_0,scaled_mcc,precision,recall,specificity,weighted_score
efficientnet,B0,0.0001,0.7508532423208191,0.8637434677118327,0.752542372881356,0.7491408934707904,0.7523227506156887,0.7207792207792207,0.7872340425531915,0.7171052631578947,0.7737205454000974
efficientnet,B0,0.0005,0.8054607508532423,0.8884845091452034,0.8067796610169492,0.8041237113402062,0.8070405346330051,0.7727272727272727,0.8439716312056738,0.7697368421052632,0.8223778333977213
efficientnet,B1,0.0001,0.78839590443686,0.8741951287793952,0.7677902621722846,0.8056426332288401,0.7888123824346951,0.8134920634920635,0.7269503546099291,0.8453947368421053,0.804967262210415
efficientnet,B1,0.0005,0.7781569965870307,0.8703924038820454,0.7601476014760147,0.7936507936507936,0.7780064519836317,0.7923076923076923,0.7304964539007093,0.8223684210526315,0.7960708495159032
efficientnet,B2,0.0001,0.7866894197952219,0.880295819335573,0.7763864042933811,0.7960848287112561,0.7862930710643989,0.7833935018050542,0.7695035460992907,0.8026315789473685,0.8051499086399663
efficientnet,B2,0.0005,0.8003412969283277,0.8843551698394924,0.8026981450252951,0.7979274611398962,0.8022781286689901,0.7652733118971061,0.8439716312056738,0.7598684210526315,0.8175200403204004
efficientnet,B3,0.0001,0.8327645051194539,0.9141587346024636,0.8316151202749141,0.8338983050847457,0.8335432409883556,0.8066666666666666,0.8581560283687943,0.8092105263157895,0.8491959812139864
efficientnet,B3,0.0005,0.8054607508532423,0.8969181597611049,0.7896678966789668,0.8190476190476191,0.8055044317055337,0.823076923076923,0.7588652482269503,0.8486842105263158,0.8233197716092935
efficientnet,B4,0.0001,0.7935153583617748,0.8748133631952222,0.7966386554621849,0.7902946273830155,0.7956943236067812,0.7571884984025559,0.8404255319148937,0.75,0.8101912656017957
efficientnet,B4,0.0005,0.8139931740614335,0.8941302724897351,0.8084358523725834,0.8192371475953565,0.8138958418708415,0.8013937282229965,0.8156028368794326,0.8125,0.82993845767799
efficientnet,B5,0.0001,0.7866894197952219,0.8663913773796194,0.7899159663865546,0.7833622183708839,0.7888476002926681,0.7507987220447284,0.8333333333333334,0.743421052631579,0.8030413164449897
efficientnet,B5,0.0005,0.8122866894197952,0.9056317655841731,0.810344827586207,0.8141891891891891,0.8128731137146701,0.7885906040268457,0.8333333333333334,0.7927631578947368,0.8310651170988068
efficientnet,B6,0.0001,0.7815699658703071,0.8754082680104518,0.7593984962406016,0.8,0.7820659008718223,0.808,0.7163120567375887,0.8421052631578947,0.7996885261986365
efficientnet,B6,0.0005,0.7935153583617748,0.8861398842851811,0.7827648114901258,0.8032520325203253,0.7931220782545679,0.7927272727272727,0.7730496453900709,0.8125,0.8117588329823949
efficientnet,B7,0.0001,0.8003412969283277,0.9002542926465099,0.8040201005025126,0.7965217391304348,0.8028184473325752,0.7619047619047619,0.851063829787234,0.7532894736842105,0.8207911753080721
efficientnet,B7,0.0005,0.8139931740614335,0.8986212206047032,0.8143100511073255,0.8136752136752137,0.8152485255836954,0.7836065573770492,0.8475177304964538,0.7828947368421053,0.8311696370064741
