pid,group,name,class,manish_count,otsu_foreground_ratio_count,huang_foreground_ratio_count,otsu_foreground_normalized_count,huang_foreground_normalized_count,huang_union_count,huang_inter_count
1,5,1,control,19,27,23,28,25,25,23
2,5,2,control,16,19,22,30,26,26,22
3,5,3,control,22,26,24,22,20,24,20
4,5,4,control,18,22,21,22,20,21,20
5,5,5,control,22,18,22,28,24,24,22
6,8,3,control,23,29,24,25,21,24,21
7,8,4,control,21,28,23,21,20,23,20
8,8,5,control,19,24,22,20,20,22,20
9,8,6,control,24,26,24,22,22,24,22
10,8,7,control,20,27,20,18,19,20,19
11,13,6,control,23,28,22,22,20,22,20
12,13,8,control,20,24,20,18,18,20,18
13,13,10,control,18,26,21,20,19,21,19
14,14,2,control,18,27,24,23,20,24,20
15,14,3,control,17,25,22,18,18,22,18
16,6,1,irradiated,20,22,18,22,18,18,18
17,6,2,irradiated,20,24,21,22,21,21,21
18,6,3,irradiated,20,23,21,24,22,22,21
19,6,4,irradiated,21,24,25,24,21,25,21
20,6,5,irradiated,21,24,23,26,23,23,23
21,9,2,irradiated,21,29,21,21,20,21,20
22,9,3,irradiated,24,27,22,20,21,22,21
23,9,4,irradiated,22,27,22,24,20,22,20
24,9,5,irradiated,22,24,21,21,20,21,20
25,13,7,irradiated,21,26,21,18,18,21,18
26,13,9,irradiated,22,23,21,21,19,21,19
27,14,1,irradiated,22,28,22,22,21,22,21
28,14,4,irradiated,21,26,21,19,19,21,19
29,14,5,irradiated,23,28,21,25,20,21,20
